date,atmp_max,atmp_min,dwpt_max,dwpt_min,pcpn,soil0_max,soil0_min,srad,stmp_10cm_max,stmp_10cm_min,stmp_50cm_max,stmp_50cm_min
11/03/2011,11.9,3.7,,,0,9.5,8.7,1317.8,,,,
11/04/2011,12.2,-0.4,,,0,9.1,7.8,10606,,,,
11/05/2011,11.9,-3.4,,,0,8.2,7,11171,,,,
11/06/2011,16.7,1.3,,,0,9.1,6.9,10060,,,,
11/07/2011,14.5,10,,,0.25,9.8,9,2412,,,,
11/08/2011,17.2,7.2,,,2.29,10.8,9.5,3363.2,,,,
11/09/2011,16.8,3.2,,,5.84,11.4,9.3,2777,,,,
11/10/2011,5.2,-0.9,,,0.76,9.3,7.6,5372.9,,,,
11/11/2011,4.6,-0.7,,,0,7.6,6.9,4317.5,,,,
11/12/2011,15,0.8,,,0,8.2,6.6,9247,,,,
11/13/2011,18.2,10.5,,,1.02,10,7.9,3040.8,,,,
11/14/2011,12,4.4,,,0.51,9.7,8.6,2531.9,,,,
11/15/2011,14.7,-0.7,,,0,9.2,7.8,9024.8,,,,
11/16/2011,9.2,-2.2,,,0,8.8,6.6,7696.6,,,,
11/17/2011,1,-4.8,,,0,6.7,4.8,4512.3,,,,
11/18/2011,8.1,-5.7,,,0,5.2,4.3,8091.9,,,,
11/19/2011,12.2,4.1,,,0,6.8,5,2138.4,,,,
11/20/2011,13.8,1.4,,,0,7.7,6.6,4768.3,,,,
11/21/2011,8,-1.6,,,0,7,5.8,8322.8,,,,
11/22/2011,2.6,-2.7,,,11.94,6,5.2,1290.3,,,,
11/23/2011,9.8,-0.4,,,0.51,6.1,4.9,8785.8,,,,
11/24/2011,6.9,0.7,,,0,6,5.3,3318,,,,
11/25/2011,14.9,4.6,,,0,7.2,5.6,8399.4,,,,
11/26/2011,15.7,7.5,,,0.76,8.6,6.7,4094.8,,,,
11/27/2011,13,1.3,,,9.14,8.9,7.5,1170,,,,
11/28/2011,2.2,-0.2,,,0.76,7.5,6.5,2420.9,,,,
11/29/2011,2.8,-2,,,23.37,6.5,5,1279.8,,,,
11/30/2011,2.9,-5.6,,,4.57,5.2,5,8008.4,,,,
12/01/2011,4.2,-6,,,2.79,5,4.7,8711.9,,,,
12/02/2011,4.1,-8,,,3.3,4.9,4.7,7893.9,,,,
12/03/2011,6.5,-5.2,,,0,4.7,3.9,2017.9,,,,
12/04/2011,9.6,4.2,,,8.13,5.4,2.7,533.1,,,,
12/05/2011,4.2,-0.2,,,0,5.2,4.5,1785.5,,,,
12/06/2011,1,-2.2,,,0,4.5,3.8,3344.4,,,,
12/07/2011,2.4,-4.1,,,0,3.8,2.8,6085.4,,,,
12/08/2011,2.2,-5.2,,,0,2.9,2.3,5249.1,,,,
12/09/2011,-0.6,-10,,,0,2.7,2,4109.4,,,,
12/10/2011,-2.6,-11.9,,,0,1.8,1.1,7441.3,,,,
12/11/2011,3.1,-7.2,,,0,1.2,0.9,7463,,,,
12/12/2011,6.5,-4.7,,,0,2.1,1.2,7263.1,,,,
12/13/2011,5.9,-0.7,,,0,3,1.8,3102.4,,,,
12/14/2011,11.6,1.8,,,14.73,5.4,3,829.6,,,,
12/15/2011,13,-0.4,,,1.02,6.7,4.2,2458.4,,,,
12/16/2011,,,,,,,,,,,,
12/17/2011,-1.7,-4.1,,,0,3.2,2.8,3198.3,,,,
12/18/2011,2.8,-2,,,0.25,3.1,2.6,3896.5,,,,
12/19/2011,8.4,0.3,,,0,4.2,2.8,2458.3,,,,
12/20/2011,1.2,-2.5,,,0.51,3.6,3,2624.7,,,,
12/21/2011,4,1.1,,,2.79,4,3.2,921.5,,,,
12/22/2011,4.6,-1.6,,,2.03,4.3,3.9,1276,,,,
12/23/2011,-0.7,-5,,,0,3.9,2.6,4543.4,,,,
12/24/2011,2.6,-3,,,0,3,2.4,5750.7,,,,
12/25/2011,4.8,-0.8,,,0.25,2.8,2.2,3948.8,,,,
12/26/2011,7,-1.6,,,0,3.4,2.5,7415.6,,,,
12/27/2011,2.7,-3.2,,,8.13,3,2.5,809.8,,,,
12/28/2011,-3,-9.2,,,0,2.5,1.1,6970.4,,,,
12/29/2011,3.2,-4.7,,,1.02,1.6,1,2760.5,,,,
12/30/2011,3,0.4,,,6.6,2,1.5,995.3,,,,
12/31/2011,3.2,0.7,,,0,2.5,1.9,1680.9,,,,
01/01/2012,-1.5,-1.7,,,0,1.8,1.8,0,,,,
01/02/2012,,,,,,,,,,,,
01/03/2012,-4.8,-7.3,,,0.25,0.6,0.5,4349.9,,,,
01/04/2012,1.8,-7.4,,,0,0.5,0.4,6853.5,,,,
01/05/2012,6,-5.5,,,0,0.6,0.4,7332.2,,,,
01/06/2012,11.2,3.4,,,0,2.5,0.6,7313.6,,,,
01/07/2012,5.1,-0.2,,,0,2.4,1.7,4849.3,,,,
01/08/2012,3.4,-5.6,,,0,2,1.2,7828.1,,,,
01/09/2012,5.3,-3.5,,,0,1.5,0.9,5218.1,,,,
01/10/2012,8.6,-3.2,,,0,2.4,1,8287.2,,,,
01/11/2012,9,-4.1,,,0.25,2.3,1.1,4772,,,,
01/12/2012,2.9,-6.3,,,4.06,2.7,2.2,1106.6,,,,
01/13/2012,-3.5,-8.2,,,0,2.2,1.9,2935.6,,,,
01/14/2012,-2.9,-9.3,,,0,2.1,1.8,1908.4,,,,
01/15/2012,-4.2,-11.3,,,0,2.1,1.9,7937.4,,,,
01/16/2012,6.5,-8.1,,,2.29,2.3,1.5,6231.4,,,,
01/17/2012,4.3,-5.3,,,6.1,2.6,1.8,774.6,,,,
01/18/2012,-4.4,-8,,,0,1.8,0.8,5141.6,,,,
01/19/2012,-3,-15.1,,,0,0.8,0.3,7274.4,,,,
01/20/2012,-8.8,-18.2,,,0,0.3,0.2,4765.5,,,,
01/21/2012,-1.4,-15,,,1.02,0.2,0.2,9277.2,,,,
01/22/2012,2.1,-12.4,,,0.76,0.2,0.2,3460.8,,,,
01/23/2012,8.9,-1.1,,,6.86,1.1,0.1,1131.3,,,,
01/24/2012,-0.6,-2.5,,,0,0.7,0.4,1189.6,,,,
01/25/2012,-0.6,-3,,,0,0.5,0.4,3478.7,,,,
01/26/2012,1.6,-3.5,,,5.84,0.7,0.4,2376.1,,,,
01/27/2012,4.2,-1,,,2.54,1.3,0.4,6710.1,,,,
01/28/2012,0.3,-4,,,1.52,0.9,0.4,6980.7,,,,
01/29/2012,-1.4,-9.8,,,0,0.4,0.3,4090.6,,,,
01/30/2012,5.9,-6.6,,,0.25,0.3,0.2,3992.4,,,,
01/31/2012,11.6,5.3,,,0,3.5,0.2,7585.3,,,,
02/01/2012,9.8,1.4,,,0,3.7,2.6,4389.1,,,,
02/02/2012,5.8,-3.2,,,0,3.1,1.9,4960.5,,,,
02/03/2012,2,-4.9,,,0,2,1.3,1925.4,,,,
02/04/2012,8.3,-4.3,,,0,3.2,1.6,9943.7,,,,
02/05/2012,5.8,-5.1,,,0,2.2,1.1,9904.2,,,,
02/06/2012,5.6,-3.3,,,0,2.4,1.1,11093,,,,
02/07/2012,1.1,-4.6,,,0,2,1.3,2818.3,,,,
02/08/2012,1.2,-7.4,,,0,1.3,0.7,10825,,,,
02/09/2012,2.9,-5.4,,,0,0.7,0.4,11763,,,,
02/10/2012,0,-12.5,,,0,0.6,0.4,2912.7,,,,
02/11/2012,-7.2,-15.5,,,0,0.6,0.3,10074,,,,
02/12/2012,-2.2,-9.4,,,0.25,0.3,0.2,10962,,,,
02/13/2012,1.1,-7.8,,,0,0.2,0.1,9100,,,,
02/14/2012,-0.2,-3.4,,,0.25,0.1,0.1,3353.8,,,,
02/15/2012,4.8,-0.4,,,3.3,0.2,0.1,7165.1,,,,
02/16/2012,4.6,-0.8,,,4.32,1.1,0.2,2656,,,,
02/17/2012,5.6,-2,,,0,1.9,0.7,11706,,,,
02/18/2012,4.1,-4.6,,,0,1.6,1,8348.6,,,,
02/19/2012,0.8,-7.6,,,0,1.1,0.5,11270,,,,
02/20/2012,4.4,-9.6,,,0,0.6,0.2,13271,,,,
02/21/2012,3.9,-3.2,,,0.51,1,0.3,2372.2,,,,
02/22/2012,4.8,-1.1,,,0,1.7,0.7,7296.8,,,,
02/23/2012,3.4,-4.4,,,0.76,2.1,0.9,7265.5,,,,
02/24/2012,0.8,-2,,,0,1.8,1.5,4906.6,,,,
02/25/2012,-0.6,-3.6,,,0,1.5,1.2,7188.1,,,,
02/26/2012,2,-8.9,,,0.25,1.4,1.1,14771,,,,
02/27/2012,4.4,-3,,,2.03,1.4,1.1,6304.1,,,,
02/28/2012,5,-9.2,,,0,1.4,0.7,12182,,,,
02/29/2012,7.8,0,,,10.67,2.3,1.1,3561,,,,
03/01/2012,4.8,0.4,,,0.25,2.5,1.7,4991.8,,,,
03/02/2012,8.4,0.3,,,7.37,3.3,2,3225.4,,,,
03/03/2012,1.6,-3,,,0,3,1.4,5720.7,,,,
