id,pe,obstime,name,wfo,lat,lon,prod_id,1in,2in,4in,6in,8in,12in,20in,24in,40in,50in,60in,Date Range,Shallowest,ShallowestDepth
NEM038,TB,2023-11-02 15:00:00,LINCOLN 1500 MESO,OAX,40.83,-96.66,KKRFMESO,0,0,37,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,37,4
NEM041,TB,2023-11-02 15:00:00,LONG PINE MESO,LBF,42.24,-99.66,KKRFMESO,0,0,43,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,43,4
NEM043,TB,2023-11-02 15:00:00,MEMPHIS MESO,OAX,41.16,-96.41,KKRFMESO,0,0,39,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,39,4
NEM044,TB,2023-11-02 15:00:00,MERNA MESO,LBF,41.45,-99.78,KKRFMESO,0,0,39,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,39,4
NEM046,TB,2023-11-02 15:00:00,NAPER MESO,LBF,42.84,-99.26,KKRFMESO,0,0,36,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,36,4
NEM051,TB,2023-11-02 15:00:00,OAKLAND MESO,OAX,41.84,-96.54,KKRFMESO,0,0,37,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,37,4
NEM052,TB,2023-11-02 15:00:00,ORD MESO,GID,41.62,-98.95,KKRFMESO,0,0,32,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,32,4
NEM055,TB,2023-11-02 15:00:00,SCOTTSBLUFF MESO,CYS,41.89,-103.68,KKRFMESO,0,0,34,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,34,4
NEM056,TB,2023-11-02 15:00:00,SCOTTSBLUFF MESO,CYS,41.95,-103.7,KKRFMESO,0,0,38,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,38,4
NEM057,TB,2023-11-02 15:00:00,SHELTON MESO,GID,40.75,-98.76,KKRFMESO,0,0,35,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,35,4
NEM058,TB,2023-11-02 15:00:00,SIDNEY MESO,CYS,41.23,-103.02,KKRFMESO,0,0,36,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,36,4
NEM059,TB,2023-11-02 15:00:00,SMITHFIELD MESO,GID,40.57,-99.69,KKRFMESO,0,0,37,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,37,4
NEM061,TB,2023-11-02 15:00:00,WALTON MESO,OAX,40.86,-96.61,KKRFMESO,0,0,41,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,41,4
NEM064,TB,2023-11-02 15:00:00,WHITMAN MESO,LBF,42.08,-101.45,KKRFMESO,0,0,36,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,36,4
