
	Warning... 
	   Date Selected:                 20170101:2400
	   First Entry In Datebase:       20170423:2400
	   ...Resetting Date Selected To: 20170423:2400
williamsburg20
daily summary

date,atmp_max,atmp_min,pcpn,soil1_max,soil1_min,soil_50cm_max,soil_50cm_min,srad
07/08/2017,25.0,13.7,0.00,27.7,19.7,22.2,20.8,28557.5
07/09/2017,27.5,15.9,8.64,28.0,21.6,22.4,21.4,19990.8
07/10/2017,24.4,16.2,0.00,26.4,0.0,22.2,0.0,397.9
07/11/2017,29.8,13.5,0.00,29.1,20.6,22.9,21.3,25962.9
07/12/2017,29.1,16.1,1.02,26.3,22.4,22.9,22.0,13880.8
07/13/2017,21.6,17.1,5.84,24.6,21.6,22.5,21.6,7030.8
07/14/2017,20.8,13.4,0.25,22.0,20.1,21.7,20.7,9954.1
07/15/2017,27.3,12.5,0.00,25.8,18.1,21.2,19.9,25224.7
07/16/2017,21.1,11.4,0.00,24.1,20.6,21.3,20.6,16497.4
07/17/2017,26.4,8.0,0.00,27.6,18.3,21.8,20.1,27726.6
07/18/2017,30.9,12.4,0.25,28.4,20.3,22.4,20.9,25157.1
07/19/2017,28.1,14.2,0.00,29.0,22.6,23.0,21.8,24498.2
07/20/2017,29.1,15.6,0.00,28.4,22.5,23.1,22.1,22028.9
07/21/2017,31.6,15.2,0.00,29.0,22.4,23.5,22.3,20418.1
07/22/2017,26.7,18.6,0.25,27.3,23.5,23.5,22.7,16374.3
07/23/2017,26.3,16.9,0.51,25.9,22.9,23.2,22.5,15906.9
07/24/2017,23.1,11.1,0.00,28.0,21.6,23.1,22.0,27714.1
07/25/2017,29.4,7.8,0.00,28.4,20.3,23.1,21.8,25909.6
07/26/2017,22.9,16.5,28.96,25.8,21.8,23.1,21.8,5446.8
07/27/2017,24.7,15.2,15.24,25.9,20.9,22.3,21.3,26747.7
07/28/2017,26.3,11.3,0.00,25.9,19.6,22.4,21.2,22626.2
07/29/2017,25.6,9.3,0.00,27.1,18.8,22.2,20.9,26731.1
07/30/2017,29.5,9.4,0.00,27.3,19.8,22.4,21.2,23173.0
07/31/2017,30.2,14.6,0.00,29.1,21.3,23.2,21.7,25482.4
08/01/2017,30.4,15.2,0.00,29.0,22.3,23.5,22.4,25905.2
08/02/2017,24.2,17.9,6.86,26.3,22.6,23.5,22.5,18002.6
08/03/2017,24.0,16.3,64.77,23.0,20.4,22.8,21.6,8430.7
08/04/2017,22.2,13.4,11.68,22.2,19.2,21.6,20.7,11996.8
08/05/2017,23.5,12.6,0.00,23.3,17.7,20.8,19.8,26027.1
08/06/2017,26.4,11.3,0.00,24.0,18.1,20.9,19.9,21092.0
08/07/2017,23.5,14.4,0.00,25.8,19.4,21.5,20.3,26058.6
08/08/2017,28.4,11.7,0.00,25.9,19.3,21.6,20.5,23691.0
08/09/2017,29.4,13.2,0.00,26.6,20.3,22.0,20.9,23445.2
08/10/2017,26.3,15.8,8.89,24.0,21.0,22.1,21.3,11964.2
08/11/2017,23.3,13.0,0.25,22.9,19.3,21.5,20.5,14947.2
08/12/2017,22.6,11.8,8.38,23.4,19.6,21.0,20.3,21793.2
08/13/2017,27.8,9.2,0.00,23.7,17.4,20.9,19.8,23396.1
08/14/2017,26.4,12.7,0.00,23.9,19.0,20.8,20.0,17518.5
08/15/2017,24.4,12.9,1.52,23.9,19.3,20.9,20.1,22381.9
08/16/2017,29.0,12.5,0.00,24.6,18.8,21.0,20.0,19687.6
08/17/2017,28.0,17.9,8.13,23.1,20.6,21.1,20.5,8885.8
08/18/2017,20.8,15.6,1.52,22.0,19.5,20.9,20.1,3226.1
08/19/2017,27.2,14.6,1.52,23.5,18.5,20.5,19.6,22464.7
08/20/2017,28.8,17.5,0.00,23.9,19.5,20.9,20.0,19685.2
08/21/2017,30.5,17.7,0.00,24.5,20.3,21.2,20.4,14568.0
08/22/2017,22.7,14.7,2.03,23.3,20.2,21.3,20.8,13013.0
08/23/2017,20.5,11.3,0.00,22.0,18.3,20.8,19.9,18416.3
08/24/2017,18.7,8.0,0.00,20.7,17.1,20.3,19.2,15060.9
08/25/2017,21.0,3.6,0.00,21.6,15.2,19.4,18.3,22956.0
08/26/2017,23.5,5.2,0.00,21.6,15.9,19.2,18.2,18828.7
08/27/2017,20.3,13.1,0.00,20.0,17.6,19.1,18.5,6310.6
08/28/2017,21.6,13.9,0.25,19.2,17.4,18.5,18.1,6928.1
08/29/2017,23.0,12.5,0.00,20.8,17.3,18.6,18.0,12438.0
08/30/2017,27.7,13.8,0.25,22.4,17.9,19.1,18.3,15169.0
08/31/2017,18.6,7.7,0.00,21.1,17.3,19.1,18.4,19914.9
09/01/2017,20.0,2.7,0.00,20.7,15.1,18.9,17.7,22455.4
09/02/2017,22.1,0.7,0.00,19.7,15.0,18.4,17.4,15495.4
09/03/2017,26.1,12.1,1.27,21.5,16.7,18.3,17.5,19440.2
09/04/2017,21.9,11.1,16.76,19.7,18.0,18.3,18.0,7789.8
09/05/2017,18.1,9.9,23.62,18.0,16.1,18.1,17.4,8923.6
09/06/2017,17.9,9.1,14.73,18.1,14.9,17.4,16.6,15679.3
09/07/2017,17.4,10.1,16.26,17.9,14.9,17.0,16.4,12217.5
09/08/2017,17.7,4.6,0.00,17.8,13.7,16.7,15.9,19194.1
09/09/2017,19.0,2.2,0.00,17.7,12.2,16.4,15.3,20162.9
09/10/2017,21.7,5.1,0.00,18.4,12.9,16.1,15.2,19422.5
09/11/2017,24.1,7.8,0.00,18.9,13.5,16.2,15.4,19217.3
09/12/2017,26.5,9.7,0.00,20.5,14.7,16.8,15.8,19268.1
09/13/2017,26.4,9.6,0.00,21.1,15.6,17.3,16.4,19488.8
09/14/2017,26.0,10.0,0.00,20.2,15.9,17.3,16.7,14768.8
09/15/2017,29.4,13.6,0.00,21.6,16.6,17.9,16.9,17819.3
09/16/2017,31.1,17.1,0.00,22.6,17.9,18.5,17.6,17762.4
09/17/2017,29.7,16.8,0.00,22.0,18.9,18.9,18.2,11843.7
09/18/2017,20.2,8.6,0.00,21.7,17.7,18.9,18.3,18724.9
09/19/2017,24.8,9.4,0.00,20.9,16.8,18.7,17.8,16307.9
09/20/2017,28.0,15.0,0.00,22.0,17.9,18.6,17.9,16158.9
09/21/2017,32.1,16.4,0.00,23.5,19.4,19.4,18.6,15773.8
09/22/2017,34.6,14.8,0.00,24.0,19.3,19.7,18.9,15553.9
09/23/2017,34.5,17.5,0.00,24.4,19.9,20.1,19.3,16271.4
09/24/2017,34.4,16.1,0.00,24.5,19.7,20.3,19.6,16882.4
09/25/2017,34.2,15.9,0.00,24.0,20.1,20.3,19.8,14780.0
09/26/2017,32.7,12.7,0.00,23.0,19.1,20.4,19.6,12202.6
09/27/2017,22.1,13.1,0.00,21.9,19.3,20.1,19.5,6565.8
09/28/2017,21.2,11.8,3.05,20.4,17.4,19.6,18.7,13659.3
09/29/2017,16.4,9.2,4.06,19.1,16.2,19.0,18.1,9044.6
09/30/2017,17.7,1.8,0.00,17.7,13.2,18.1,16.8,17255.3
10/01/2017,20.3,3.6,0.00,17.3,12.6,17.0,15.9,16583.7
10/02/2017,26.0,10.9,0.00,18.4,14.0,16.5,15.8,12671.3
10/03/2017,25.9,14.5,0.00,19.6,15.9,17.1,16.4,11080.2
10/04/2017,22.7,8.5,14.22,19.3,16.5,17.4,17.1,11543.9
10/05/2017,19.3,7.6,0.25,16.6,13.9,17.4,16.3,10623.3
10/06/2017,21.0,9.7,0.00,17.8,14.8,16.4,16.0,9765.6
10/07/2017,23.4,15.0,17.78,18.1,16.2,16.7,16.3,4504.0
10/08/2017,25.0,11.5,0.76,19.4,16.0,17.1,16.5,15207.5
10/09/2017,22.0,7.9,0.00,18.4,14.5,17.0,16.2,12856.4
10/10/2017,14.9,9.0,0.00,16.7,14.2,16.7,15.9,12794.0
10/11/2017,18.3,6.8,0.00,15.5,13.3,16.0,15.2,9586.5
10/12/2017,18.1,1.6,0.00,14.9,11.5,15.3,14.4,8964.0
10/13/2017,18.6,12.2,0.51,15.3,14.0,14.9,14.7,4155.1
10/14/2017,16.1,8.8,9.14,14.9,13.3,15.0,14.6,3958.0
10/15/2017,18.4,6.3,23.11,14.5,12.1,14.6,14.2,3316.6
10/16/2017,15.0,-0.1,0.00,13.1,10.1,14.2,13.1,12385.0
10/17/2017,20.0,5.6,0.00,14.1,10.7,13.3,12.8,11641.7
10/18/2017,22.3,11.8,0.00,14.9,11.9,13.6,13.1,13363.0
10/19/2017,18.4,9.3,0.00,14.6,12.4,13.7,13.4,12374.2
10/20/2017,26.0,5.2,0.00,15.5,11.2,13.8,13.1,12136.2
10/21/2017,24.1,13.5,0.00,15.7,13.4,14.2,13.7,8474.5
10/22/2017,25.4,10.7,13.72,16.6,14.3,14.7,14.2,7391.3
10/23/2017,11.1,8.5,57.91,14.8,12.2,14.7,13.8,982.1
10/24/2017,9.0,3.7,41.15,12.2,9.4,13.8,12.3,1675.2
10/25/2017,10.1,1.0,5.84,10.0,8.6,12.3,11.3,6503.9
10/26/2017,9.9,-1.7,0.51,9.8,7.4,11.3,10.5,8287.3
10/27/2017,8.3,3.7,2.03,9.2,8.4,10.7,10.4,1788.8
10/28/2017,8.0,2.8,4.06,9.0,7.7,10.4,9.9,5386.7
10/29/2017,8.2,-1.2,0.00,8.5,6.7,10.0,9.4,5438.1
10/30/2017,8.8,0.2,6.10,7.8,6.6,9.5,9.0,4331.7
10/31/2017,6.3,0.6,7.37,6.8,6.0,9.0,8.4,3857.2
11/01/2017,4.5,0.8,0.00,6.6,5.6,8.4,8.0,3512.6
11/02/2017,8.3,2.1,3.05,7.5,5.9,8.1,7.9,1885.7
11/03/2017,7.6,1.5,0.00,7.5,6.7,8.2,8.1,4137.0
11/04/2017,5.1,-0.3,1.78,6.7,5.5,8.2,7.7,1324.8
11/05/2017,9.2,3.7,0.76,7.8,6.2,8.1,7.7,1356.2
11/06/2017,6.7,-1.7,0.00,7.4,5.5,8.1,7.7,5702.8
11/07/2017,6.3,-4.3,0.00,6.4,4.5,7.7,7.1,7214.8
11/08/2017,6.9,-4.6,0.00,5.0,3.4,7.2,6.4,6633.4
11/09/2017,2.9,-7.0,6.10,4.6,3.0,6.5,6.0,1811.8
11/10/2017,-3.4,-10.1,0.25,3.0,2.2,6.0,5.1,9711.5
11/11/2017,-0.7,-9.2,0.00,2.2,1.7,5.1,4.4,2179.8
11/12/2017,3.5,-1.0,0.25,1.9,1.7,4.4,4.1,1745.2
11/13/2017,4.9,-2.2,0.00,3.4,1.9,4.4,4.1,1431.5
11/14/2017,9.9,-2.3,0.76,4.8,2.4,4.9,4.3,4819.7
11/15/2017,6.7,3.3,14.99,5.2,4.7,5.4,4.9,604.0
11/16/2017,3.8,-2.0,2.03,5.1,3.4,5.5,5.2,2291.2
11/17/2017,4.8,-3.9,7.37,3.6,2.5,5.2,4.6,3304.1
11/18/2017,4.9,0.7,2.29,4.4,3.5,5.0,4.7,929.2
11/19/2017,1.7,-3.5,0.00,4.0,2.2,5.0,4.4,1458.6
11/20/2017,8.8,-2.6,0.00,3.8,2.0,4.4,4.0,7001.6
11/21/2017,8.6,-2.4,0.00,4.3,2.8,4.7,4.3,2727.8
11/22/2017,0.2,-2.6,0.00,2.8,2.1,4.7,4.1,2256.2
11/23/2017,4.9,-2.0,0.00,3.2,2.0,4.1,3.8,3182.4
11/24/2017,17.7,-0.5,1.27,5.8,2.1,4.7,3.8,6021.8
11/25/2017,7.5,-1.1,2.03,5.8,3.2,5.1,4.7,943.4
11/26/2017,6.5,-4.4,0.00,3.5,2.4,5.0,4.4,6100.1
11/27/2017,4.9,-1.2,0.00,3.3,2.6,4.4,4.2,2752.8
11/28/2017,13.5,4.2,0.00,5.5,2.9,5.0,4.2,1365.5
11/29/2017,6.5,-3.4,0.00,4.8,2.9,5.0,4.8,6589.0
11/30/2017,7.2,0.7,0.00,4.1,2.7,4.8,4.4,2291.8
12/01/2017,9.3,-4.6,0.00,4.1,2.3,4.6,4.2,6390.2
12/02/2017,12.4,-0.3,0.00,5.5,3.7,4.9,4.4,5822.1
12/03/2017,4.9,-4.4,0.00,4.0,2.6,4.9,4.4,3127.8
12/04/2017,14.4,3.6,13.97,6.7,3.3,5.1,4.4,1968.4
12/05/2017,14.4,-4.8,0.25,7.2,2.8,5.7,5.1,523.1
12/06/2017,-3.9,-5.6,0.00,2.9,1.8,5.1,4.0,1547.7
12/07/2017,-3.4,-5.9,0.00,1.8,1.7,4.0,3.5,2619.2
12/08/2017,-2.9,-5.6,0.00,1.8,1.7,3.5,3.3,1498.1
12/09/2017,-1.1,-6.2,0.25,1.9,1.8,3.3,3.2,4834.5
12/10/2017,-2.0,-6.5,0.00,1.9,1.9,3.2,3.1,1628.9
12/11/2017,-1.1,-8.1,0.00,1.9,1.7,3.1,2.9,1896.2
12/12/2017,-3.6,-10.2,0.00,1.7,1.4,3.0,2.8,5487.3
12/13/2017,-8.4,-11.0,0.00,1.4,1.2,2.8,2.5,1810.4
12/14/2017,-4.5,-13.2,0.00,1.2,1.2,2.5,2.4,2876.1
12/15/2017,-4.0,-7.3,0.00,1.2,1.2,2.4,2.3,2912.9
12/16/2017,-5.1,-9.2,0.00,1.3,1.2,2.3,2.3,3730.6
12/17/2017,-2.3,-9.2,0.00,1.3,1.3,2.4,2.3,3077.9
12/18/2017,2.6,-3.7,0.25,1.4,1.3,2.4,2.3,1795.0
12/19/2017,5.4,-1.3,0.00,1.4,1.4,2.4,2.4,5209.0
12/20/2017,-1.1,-4.4,0.00,1.4,1.1,2.4,2.3,1719.0
12/21/2017,-1.5,-5.3,0.00,1.1,1.0,2.3,2.1,2657.0
12/22/2017,1.1,-3.9,1.52,1.1,1.0,2.2,2.1,3535.9
12/23/2017,-0.2,-6.8,0.25,1.2,1.1,2.1,2.1,1499.6
12/24/2017,-5.5,-11.6,0.00,1.1,1.0,2.1,2.0,2505.3
12/25/2017,-6.1,-15.3,0.00,1.0,0.9,2.0,1.9,3256.2
12/26/2017,-13.0,-16.0,0.00,1.0,0.8,2.0,1.8,4004.4
12/27/2017,-9.8,-14.4,0.00,0.8,0.7,1.9,1.7,3589.8
12/28/2017,-10.5,-14.8,0.00,0.7,0.6,1.8,1.6,3216.1
12/29/2017,-8.3,-14.1,0.00,0.6,0.5,1.6,1.5,5183.1
12/30/2017,-9.5,-14.7,0.00,0.5,0.5,1.5,1.4,2179.2
12/31/2017,-11.2,-22.2,0.00,0.5,0.5,1.5,1.4,4945.9
01/01/2018,-10.4,-13.4,0.00,0.5,0.5,1.4,1.4,2059.3
01/02/2018,-6.9,-11.0,0.00,0.5,0.4,1.4,1.4,6660.5
01/03/2018,-6.6,-11.1,0.00,0.5,0.4,1.4,1.4,2344.9
01/04/2018,-10.5,-17.2,0.00,0.5,0.4,1.4,1.4,3394.0
01/05/2018,-12.2,-22.9,0.00,0.5,0.4,1.4,1.3,5600.2
01/06/2018,-13.3,-22.3,0.00,0.5,0.4,1.4,1.3,5124.7
01/07/2018,-0.3,-14.1,0.00,0.5,0.4,1.4,1.3,2881.5
01/08/2018,0.8,-2.5,0.51,0.5,0.4,1.3,1.3,2557.7
01/09/2018,2.8,-4.4,1.02,0.5,0.4,1.3,1.3,6074.6
01/10/2018,8.1,-1.7,0.76,0.5,0.4,1.4,1.3,3092.9
01/11/2018,12.0,-4.2,6.10,0.5,0.4,1.4,1.0,1914.7
01/12/2018,-4.0,-11.1,0.00,0.4,0.4,1.1,1.0,3466.8
01/13/2018,-8.8,-12.6,0.00,0.4,0.3,1.2,1.1,4648.0
01/14/2018,-7.5,-11.2,0.00,0.3,0.2,1.1,1.1,4966.4
01/15/2018,-7.4,-11.7,0.00,0.3,0.1,1.1,1.0,4271.2
01/16/2018,-7.4,-13.1,0.00,0.1,0.0,1.0,0.9,7215.6
01/17/2018,-3.5,-10.6,0.00,0.1,-0.0,1.0,0.9,4389.9
01/18/2018,1.0,-6.4,0.00,-0.0,-0.2,0.9,0.8,5116.5
01/19/2018,4.7,-3.8,0.00,0.0,-0.1,0.9,0.8,6407.0
01/20/2018,7.7,-1.8,0.00,0.1,-0.0,0.9,0.8,6514.9
01/21/2018,8.0,-1.8,0.00,0.1,0.0,0.9,0.8,6494.1
01/22/2018,2.6,0.1,15.24,0.1,0.0,0.9,0.8,820.3
01/23/2018,1.3,-6.1,0.00,0.1,0.1,0.9,0.8,2409.0
01/24/2018,-4.8,-9.0,0.00,0.2,0.1,0.9,0.8,3532.2
01/25/2018,0.2,-6.4,0.00,0.2,0.1,0.9,0.8,1898.4
01/26/2018,10.9,-4.2,0.25,0.1,-0.1,0.9,0.8,8813.8
01/27/2018,9.1,0.8,0.00,0.1,0.0,0.8,0.8,4933.4
01/28/2018,0.9,-7.4,0.00,0.1,0.0,0.9,0.8,3464.0
01/29/2018,-7.0,-9.1,0.00,0.1,0.0,0.9,0.8,2727.8
01/30/2018,-5.1,-9.4,0.00,0.1,-0.0,0.9,0.8,4322.0
01/31/2018,1.0,-6.2,0.25,0.0,-0.1,0.8,0.8,3002.2
02/01/2018,0.8,-12.7,0.00,0.0,-0.0,0.8,0.8,5649.0
02/02/2018,-9.4,-12.1,0.00,0.0,0.0,0.8,0.7,5704.6
02/03/2018,-4.4,-10.8,0.00,0.0,-0.0,0.8,0.7,4265.4
02/04/2018,-7.4,-12.0,0.00,0.0,-0.0,0.7,0.7,4124.3
02/05/2018,-8.1,-13.4,0.00,0.0,-0.0,0.7,0.7,7747.0
02/06/2018,-7.8,-19.4,0.00,-0.0,-0.0,0.7,0.7,7142.8
02/07/2018,-6.0,-14.3,0.00,-0.0,-0.1,0.7,0.7,8668.3
02/08/2018,-5.8,-10.9,0.00,-0.0,-0.1,0.7,0.6,10186.8
02/09/2018,-7.1,-10.9,0.00,-0.0,-0.1,0.7,0.6,8237.9
02/10/2018,-2.6,-16.8,0.00,-0.0,-0.1,0.7,0.6,8672.1
02/11/2018,-4.3,-16.8,0.00,-0.1,-0.1,0.6,0.6,4726.7
02/12/2018,-5.1,-18.8,0.00,-0.0,-0.1,0.6,0.6,11262.2
02/13/2018,-2.0,-16.9,0.00,-0.0,-0.1,0.6,0.6,6666.0
02/14/2018,8.8,-3.0,0.00,-0.0,-0.1,0.6,0.6,12473.1
02/15/2018,8.2,-4.0,0.00,0.0,-0.0,0.6,0.6,8060.5
02/16/2018,-2.4,-8.9,0.00,0.1,0.0,0.6,0.6,10669.3
02/17/2018,1.2,-9.9,0.00,0.1,-0.2,0.6,0.6,6624.0
02/18/2018,3.7,-5.1,0.00,-0.0,-0.2,0.6,0.6,8919.6
02/19/2018,5.9,-1.7,5.59,0.0,-0.0,0.6,0.6,3849.7
02/20/2018,15.4,0.8,16.51,0.1,-0.0,0.6,0.6,5305.1
02/21/2018,1.0,-7.9,0.00,0.1,0.0,0.6,0.6,6960.9
02/22/2018,1.7,-7.6,0.00,0.1,0.0,0.6,0.6,6241.5
02/23/2018,5.2,-0.4,0.76,0.1,0.0,0.6,0.6,3407.6
02/24/2018,6.2,-1.6,0.00,0.1,0.0,0.6,0.6,11068.9
02/25/2018,3.9,-1.3,7.62,0.1,0.0,0.7,0.6,8503.4
02/26/2018,8.3,-3.6,0.00,0.1,0.0,0.7,0.6,14950.7
02/27/2018,14.7,1.1,0.00,1.4,0.0,0.9,0.7,12531.2
02/28/2018,7.7,-3.2,0.00,3.7,0.3,1.3,0.8,14019.2
03/01/2018,-0.4,-5.1,0.00,1.3,0.4,1.3,0.9,4980.4
03/02/2018,3.2,-4.5,0.00,2.3,0.4,1.1,0.9,13238.1
03/03/2018,3.9,-9.5,0.00,1.9,0.4,1.1,0.9,15928.2
03/04/2018,4.9,-6.2,0.00,1.0,0.4,1.1,0.9,10180.8
03/05/2018,4.9,-7.5,0.00,0.9,0.4,1.0,0.9,13671.8
03/06/2018,-1.0,-4.8,0.51,0.5,0.4,1.0,0.9,5920.4
03/07/2018,-2.9,-5.1,0.00,0.4,0.4,0.9,0.9,7158.5
03/08/2018,-0.9,-5.0,0.00,0.4,0.4,0.9,0.9,5157.5
03/09/2018,0.8,-3.7,1.02,0.4,0.4,0.9,0.9,12189.4
03/10/2018,-0.5,-7.0,0.00,0.4,0.4,0.9,0.9,7095.9
03/11/2018,0.1,-12.9,0.00,0.4,0.4,0.9,0.9,15470.5
03/12/2018,2.4,-9.9,1.27,0.4,0.4,0.9,0.9,7672.1
03/13/2018,-1.8,-5.0,0.00,0.4,0.4,0.9,0.8,7006.8
03/14/2018,4.5,-5.5,0.00,0.4,0.4,0.9,0.8,15177.4
03/15/2018,-0.3,-6.6,0.00,0.4,0.4,0.9,0.8,5157.6
03/16/2018,0.5,-7.1,0.00,0.4,0.3,0.9,0.8,18193.6
03/17/2018,5.0,-10.1,0.00,1.2,0.3,0.9,0.8,19350.5
03/18/2018,8.1,-2.3,0.00,4.5,0.4,1.5,0.8,19150.1
03/19/2018,2.4,-5.6,0.00,3.6,0.6,1.5,1.1,19279.1
