elkrapids
daily summary

date,atmp_max,atmp_min,dwpt_max,dwpt_min,pcpn,srad,stmp_10cm_max,stmp_10cm_min,stmp_50cm_max,stmp_50cm_min
01/01/2004,0.6,-7.5,,,0.51,3402.4,,,,
01/02/2004,4.9,0.2,,,11.18,1956.6,,,,
01/03/2004,7.7,-3.7,,,0.00,5466.0,,,,
01/04/2004,-3.0,-6.4,,,0.00,3215.9,,,,
01/05/2004,-2.3,-10.6,,,0.25,3052.2,,,,
01/06/2004,-10.5,-14.6,,,0.00,4036.7,,,,
01/07/2004,,,,,,,,,,
01/08/2004,,,,,,,,,,
01/09/2004,,,,,,,,,,
01/10/2004,,,,,,,,,,
01/11/2004,-0.1,-1.8,,,0.76,1514.8,,,,
01/12/2004,0.2,-4.3,,,0.00,699.4,,,,
01/13/2004,-2.0,-12.2,,,0.00,3349.7,,,,
01/14/2004,-7.9,-13.2,,,0.00,2822.6,,,,
01/15/2004,-11.8,-17.9,,,0.00,3486.8,,,,
01/16/2004,-9.1,-19.0,,,0.00,7450.6,,,,
01/17/2004,-2.6,-10.8,,,0.00,1923.1,,,,
01/18/2004,-5.7,-9.6,,,0.00,2742.1,,,,
01/19/2004,-7.5,-11.0,,,0.00,3543.2,,,,
01/20/2004,-6.4,-13.7,,,0.00,7985.5,,,,
01/21/2004,-2.8,-13.3,,,0.00,3113.7,,,,
01/22/2004,-6.7,-15.0,,,0.00,5534.7,,,,
01/23/2004,-9.8,-14.1,,,0.00,4596.1,,,,
01/24/2004,-7.4,-18.2,,,0.00,6219.0,,,,
01/25/2004,-1.4,-12.2,,,0.00,5258.8,,,,
01/26/2004,0.7,-6.4,,,0.00,6168.2,,,,
01/27/2004,-3.9,-26.1,,,0.00,10387.0,,,,
01/28/2004,-6.2,-13.3,,,0.00,5007.9,,,,
01/29/2004,-10.2,-14.1,,,0.00,6283.0,,,,
01/30/2004,-8.2,-11.6,,,0.00,5336.4,,,,
01/31/2004,-3.1,-12.1,,,0.00,7009.5,,,,
02/01/2004,-1.8,-14.8,,,0.00,6637.8,,,,
02/02/2004,1.3,-7.7,,,0.00,4766.6,,,,
02/03/2004,0.3,-9.5,,,0.00,3159.5,,,,
02/04/2004,-4.4,-21.5,,,0.00,10676.0,,,,
02/05/2004,,,,,,,,,,
02/06/2004,,,,,,,,,,
02/07/2004,,,,,,,,,,
02/08/2004,-3.2,-17.7,,,0.00,10617.0,,,,
02/09/2004,-1.9,-18.2,,,0.00,5924.8,,,,
02/10/2004,4.8,-19.6,,,1.02,7069.7,,,,
02/11/2004,6.7,-13.1,,,0.00,8076.8,,,,
02/12/2004,2.3,-1.6,,,13.46,2418.9,,,,
02/13/2004,0.5,-2.6,,,1.52,4523.4,,,,
02/14/2004,-0.9,-11.0,,,0.00,7294.2,,,,
02/15/2004,-4.9,-21.6,,,0.00,8808.9,,,,
02/16/2004,,,,,,,,,,
02/17/2004,,,,,,,,,,
02/18/2004,,,,,,,,,,
02/19/2004,,,,,,,,,,
02/20/2004,,,,,,,,,,
02/21/2004,,,,,,,,,,
02/22/2004,8.3,-7.7,,,0.25,12560.0,,,,
02/23/2004,1.2,-1.3,,,5.59,3082.5,,,,
02/24/2004,5.4,-7.6,,,0.00,10777.0,,,,
02/25/2004,3.2,-13.9,,,0.00,8691.4,,,,
02/26/2004,8.6,-17.3,,,0.00,14415.0,,,,
02/27/2004,13.2,-17.6,,,0.00,15169.0,,,,
02/28/2004,9.2,-14.2,,,0.00,13181.0,,,,
02/29/2004,18.2,-2.9,,,0.00,13613.0,,,,
03/01/2004,6.4,-1.9,,,5.84,3156.1,,,,
03/02/2004,5.9,0.7,,,1.27,6150.5,,,,
03/03/2004,5.3,-0.3,,,0.76,5413.7,,,,
03/04/2004,7.1,-0.0,,,0.25,7928.8,,,,
03/05/2004,8.2,-1.0,,,23.88,3346.8,,,,
03/06/2004,1.9,-2.7,,,0.00,9482.8,,,,
03/07/2004,4.8,-1.5,,,5.08,7395.9,,,,
03/08/2004,1.5,-6.2,,,0.00,6269.4,,,,
03/09/2004,5.5,-8.5,,,0.25,15912.0,,,,
03/10/2004,6.7,-9.3,,,0.00,15715.0,,,,
03/11/2004,4.9,-7.1,,,1.27,7391.5,,,,
03/12/2004,-6.0,-9.7,,,0.00,8299.9,,,,
03/13/2004,3.8,-18.6,,,0.76,15824.0,,,,
03/14/2004,3.3,-1.3,,,1.02,4275.8,,,,
03/15/2004,1.8,-10.2,,,0.00,13237.0,,,,
03/16/2004,2.8,-10.4,,,0.00,16763.0,,,,
03/17/2004,0.6,-5.6,,,0.00,10860.0,,,,
03/18/2004,6.1,-6.5,,,0.00,12572.0,,,,
03/19/2004,6.1,-3.9,,,1.78,12509.0,,,,
03/20/2004,10.8,-2.4,,,0.00,12648.0,,,,
03/21/2004,-2.2,-6.6,,,0.00,15381.0,,,,
03/22/2004,-0.4,-7.2,,,0.00,18751.0,,,,
03/23/2004,4.4,-4.7,,,0.76,13868.0,,,,
03/24/2004,9.9,-2.2,,,0.00,5616.6,,,,
03/25/2004,18.0,4.2,,,0.00,8547.7,,,,
03/26/2004,13.0,2.3,,,5.08,4339.8,,,,
03/27/2004,10.3,1.9,,,0.25,9863.9,,,,
03/28/2004,13.1,4.1,,,3.81,7397.3,,,,
03/29/2004,13.9,1.2,,,3.05,18206.0,,,,
03/30/2004,11.7,-2.0,,,0.00,14796.0,,,,
03/31/2004,7.5,-2.1,,,0.00,15413.0,,,,
04/01/2004,7.4,-5.0,,,0.00,18856.0,,,,
04/02/2004,10.6,-3.5,,,0.00,21843.0,,,,
04/03/2004,9.6,-5.6,,,1.27,12008.0,,,,
04/04/2004,2.0,-3.5,,,0.00,20113.0,,,,
04/05/2004,5.7,-7.0,,,0.00,22430.0,,,,
04/06/2004,14.8,-1.4,,,0.00,9521.8,,,,
04/07/2004,16.6,-2.4,,,0.00,19471.0,,,,
04/08/2004,10.5,1.3,,,3.81,10347.0,,,,
04/09/2004,7.7,-0.2,,,0.00,11084.0,,,,
04/10/2004,6.6,-4.7,,,0.00,18671.0,,,,
04/11/2004,4.2,-4.8,,,0.00,22326.0,,,,
04/12/2004,6.1,-7.1,,,0.00,15191.0,,,,
04/13/2004,6.9,-6.1,,,0.00,24125.0,,,,
04/14/2004,14.3,-3.9,,,0.00,23977.0,,,,
04/15/2004,,,,,,,,,,
04/16/2004,,,,,,,,,,
04/17/2004,,,,,,,,,,
04/18/2004,,,,,,,,,,
04/19/2004,,,,,,,,,,
04/20/2004,,,,,,,,,,
04/21/2004,,,,,,,,,,
04/22/2004,,,,,,,,,,
04/23/2004,,,,,,,,,,
04/24/2004,,,,,,,,,,
04/25/2004,,,,,,,,,,
04/26/2004,,,,,,,,,,
04/27/2004,6.9,-1.1,,,0.00,16296.0,,,,
04/28/2004,23.7,-0.4,,,1.02,17262.0,,,,
04/29/2004,24.0,3.7,,,0.00,19842.0,,,,
04/30/2004,11.9,3.0,,,2.79,8184.2,,,,
05/01/2004,8.2,3.2,,,0.51,11115.0,,,,
05/02/2004,7.9,1.4,,,0.00,22943.0,,,,
05/03/2004,9.8,-1.1,,,0.00,26557.0,,,,
05/04/2004,15.9,-3.1,,,1.02,6383.1,,,,
05/05/2004,13.7,1.6,,,0.00,24011.0,,,,
05/06/2004,20.8,2.9,,,3.56,8598.8,,,,
05/07/2004,11.3,-1.4,,,0.00,22495.0,,,,
05/08/2004,11.1,1.1,,,6.10,5368.6,,,,
05/09/2004,18.0,8.4,,,2.29,10045.0,,,,
05/10/2004,23.3,8.5,,,0.25,17019.0,,,,
05/11/2004,24.2,2.0,,,0.00,23013.0,,,,
05/12/2004,29.1,15.7,,,2.29,20429.0,,,,
05/13/2004,21.1,15.1,,,24.38,5878.1,,,,
05/14/2004,16.2,4.9,,,14.99,4382.7,,,,
05/15/2004,12.1,1.4,,,0.00,25652.0,,,,
05/16/2004,20.3,0.1,,,0.00,27842.0,,,,
05/17/2004,26.2,6.4,,,0.00,16699.0,,,,
05/18/2004,16.2,3.4,,,0.76,15865.0,,,,
05/19/2004,24.2,0.3,,,0.00,27917.0,,,,
05/20/2004,25.3,9.9,,,6.10,13706.0,,,,
05/21/2004,18.2,1.9,,,0.25,13312.0,,,,
05/22/2004,16.2,8.6,,,0.51,6402.5,,,,
05/23/2004,13.3,9.2,,,55.12,3658.7,,,,
05/24/2004,11.4,7.1,,,10.16,7551.6,,,,
05/25/2004,19.9,7.7,,,0.00,13119.0,,,,
05/26/2004,16.7,4.2,,,0.00,24186.0,,,,
05/27/2004,20.4,3.0,,,2.29,8452.9,,,,
05/28/2004,14.3,2.1,,,0.00,29423.0,,,,
05/29/2004,22.6,-0.1,,,0.00,24531.0,,,,
05/30/2004,21.8,10.2,,,0.51,18098.0,,,,
05/31/2004,21.3,11.3,,,17.53,10232.0,,,,
06/01/2004,20.6,7.3,,,0.00,16092.0,,,,
06/02/2004,19.1,6.3,,,0.00,28173.0,,,,
06/03/2004,18.4,2.0,,,0.00,29880.0,,,,
06/04/2004,21.6,1.4,,,0.00,29764.0,,,,
06/05/2004,24.7,3.4,,,0.00,27107.0,,,,
06/06/2004,24.8,12.9,,,1.52,17812.0,,,,
06/07/2004,30.4,12.5,,,0.00,26885.0,,,,
06/08/2004,31.3,21.9,,,1.27,23345.0,,,,
06/09/2004,23.9,12.4,,,0.76,10889.0,,,,
06/10/2004,22.4,12.7,,,3.30,23116.0,,,,
06/11/2004,21.6,13.1,,,0.00,15142.0,,,,
06/12/2004,27.7,13.5,,,0.00,21601.0,,,,
06/13/2004,27.1,11.8,,,5.59,13828.0,,,,
06/14/2004,25.0,13.1,,,0.00,21143.0,,,,
06/15/2004,21.9,9.6,,,0.00,25896.0,,,,
06/16/2004,31.3,10.8,,,0.00,26983.0,,,,
06/17/2004,19.1,15.0,,,11.68,5355.2,,,,
06/18/2004,25.6,10.5,,,0.00,24266.0,,,,
06/19/2004,18.5,7.5,,,0.00,29675.0,,,,
06/20/2004,21.8,6.1,,,0.00,29676.0,,,,
06/21/2004,21.2,12.5,,,0.00,9797.7,,,,
06/22/2004,20.3,9.5,,,0.00,26511.0,,,,
06/23/2004,21.2,11.3,,,1.78,26323.0,,,,
06/24/2004,16.3,4.4,,,3.30,17701.0,,,,
06/25/2004,20.5,2.2,,,0.00,27793.0,,,,
06/26/2004,20.4,6.3,,,0.00,29287.0,,,,
06/27/2004,22.3,7.1,,,1.52,27282.0,,,,
06/28/2004,23.4,9.9,,,0.00,27333.0,,,,
06/29/2004,24.2,10.6,,,0.00,25686.0,,,,
06/30/2004,29.2,9.1,,,0.00,26957.0,,,,
07/01/2004,22.2,8.3,,,1.27,27700.0,,,,
07/02/2004,25.4,5.3,,,0.00,28031.0,,,,
07/03/2004,29.7,12.1,,,0.00,23248.0,,,,
07/04/2004,24.9,14.7,,,9.40,9038.8,,,,
07/05/2004,20.8,11.6,,,0.00,18899.0,,,,
07/06/2004,19.5,11.5,,,2.03,5923.1,,,,
