"station","lat","lon","elev","depth","t"
"GRR1",44.3602778,-85.6794444,502,0,6.81628519899559
"GRR1",44.3602778,-85.6794444,502,10,8.61836677731677
"GRR1",44.3602778,-85.6794444,502,50,8.29821728092501
"GRR2",44.3701389,-85.7571111,286,0,7.5499446229962
"GRR2",44.3701389,-85.7571111,286,10,9.70229547059318
"GRR2",44.3701389,-85.7571111,286,50,9.27559361523967
"GRR5",43.68175,-85.5799722,401,0,7.25913419589482
"GRR5",43.68175,-85.5799722,401,10,9.03690657024127
"GRR5",43.68175,-85.5799722,401,50,8.92890097798057
"GRR6",43.631,-85.7725278,285,0,7.91092756575259
"GRR6",43.631,-85.7725278,285,10,9.81284942311515
"GRR6",43.631,-85.7725278,285,50,9.47167444836345
"USC00200146",43.3869,-84.6481,221.9,0,8.40998619926492
"USC00200146",43.3869,-84.6481,221.9,10,10.1346177135649
"USC00200146",43.3869,-84.6481,221.9,50,10.1549735873318
"USC00200230",42.2981,-83.6639,247.8,0,9.82976111493654
"USC00200230",42.2981,-83.6639,247.8,10,11.1096034905473
"USC00200230",42.2981,-83.6639,247.8,50,11.095788276446
"USC00200552",42.3678,-85.2633,281.3,0,9.33153182431865
"USC00200552",42.3678,-85.2633,281.3,10,11.0257383662226
"USC00200552",42.3678,-85.2633,281.3,50,11.0143274435473
"USC00200710",42.1244,-86.4267,190.5,0,9.63109937765019
"USC00200710",42.1244,-86.4267,190.5,10,11.8423461859031
"USC00200710",42.1244,-86.4267,190.5,50,11.6434189654633
"USC00200779",43.7072,-85.4819,273.7,0,7.58233313311581
"USC00200779",43.7072,-85.4819,273.7,10,9.58506635663548
"USC00200779",43.7072,-85.4819,273.7,50,9.41559171016058
"USC00200864",42.3839,-85.9625,224.3,0,9.05595040573464
"USC00200864",42.3839,-85.9625,224.3,10,11.3265692393312
"USC00200864",42.3839,-85.9625,224.3,50,11.2182312507448
"USC00200925",45.1672,-84.9139,221.9,0,7.67850520765233
"USC00200925",45.1672,-84.9139,221.9,10,9.014923553052
"USC00200925",45.1672,-84.9139,221.9,50,8.94669404314127
"USC00201299",43.4839,-83.3919,210.3,0,8.55402306969061
"USC00201299",43.4839,-83.3919,210.3,10,10.1166104598653
"USC00201299",43.4839,-83.3919,210.3,50,10.1461982739789
"USC00201361",43.5861,-83.1805,212.8,0,8.23666927806364
"USC00201361",43.5861,-83.1805,212.8,10,9.86137291935406
"USC00201361",43.5861,-83.1805,212.8,50,9.90218197115175
"USC00201468",45.3172,-85.2672,180.7,0,7.45321709089255
"USC00201468",45.3172,-85.2672,180.7,10,8.93936666694812
"USC00201468",45.3172,-85.2672,180.7,50,8.93620999752364
"USC00201492",45.6522,-84.4725,177.4,0,6.50295604010689
"USC00201492",45.6522,-84.4725,177.4,10,8.50326177483933
"USC00201492",45.6522,-84.4725,177.4,50,8.50989746111444
"USC00201896",45.6414,-85.0142,219.8,0,6.82470360986866
"USC00201896",45.6414,-85.0142,219.8,10,8.61999981613875
"USC00201896",45.6414,-85.0142,219.8,50,8.6019023265246
"USC00202015",42.3192,-83.2383,184.4,0,9.9659329273395
"USC00202015",42.3192,-83.2383,184.4,10,11.1918034212118
"USC00202015",42.3192,-83.2383,184.4,50,11.1832460032437
"USC00202381",45.1517,-85.1325,178.9,0,7.5405921363906
"USC00202381",45.1517,-85.1325,178.9,10,8.95257868556044
"USC00202381",45.1517,-85.1325,178.9,50,8.93839361308389
"USC00202423",44.2839,-83.5036,178.6,0,7.49108980724085
"USC00202423",44.2839,-83.5036,178.6,10,9.19727147240741
"USC00202423",44.2839,-83.5036,178.6,50,9.20386459352255
"USC00202437",42.5181,-84.6522,265.2,0,9.10409622498539
"USC00202437",42.5181,-84.6522,265.2,10,10.7458645397097
"USC00202437",42.5181,-84.6522,265.2,50,10.7117918649302
"USC00202984",44.6483,-86.2097,289,0,7.9447979191591
"USC00202984",44.6483,-86.2097,289,10,9.83023653576271
"USC00202984",44.6483,-86.2097,289,50,9.54978081959487
"USC00203096",45.0333,-84.7114,401.7,0,6.3860138513952
"USC00203096",45.0333,-84.7114,401.7,10,8.18042955256772
"USC00203096",45.0333,-84.7114,401.7,50,8.01141619821154
"USC00203391",44.6547,-84.6997,346.6,0,6.05384859408168
"USC00203391",44.6547,-84.6997,346.6,10,8.42201629721916
"USC00203391",44.6547,-84.6997,346.6,50,8.08605336448989
"USC00203429",43.2025,-85.2422,270.7,0,8.51010460777134
"USC00203429",43.2025,-85.2422,270.7,10,10.1888117509961
"USC00203429",43.2025,-85.2422,270.7,50,10.1086182832929
"USC00203504",42.3942,-85.385,281.9,0,9.90909601026665
"USC00203504",42.3942,-85.385,281.9,10,11.1299707090032
"USC00203504",42.3942,-85.385,281.9,50,11.0860352436598
"USC00203529",44.4633,-83.7217,221.9,0,7.13837417706719
"USC00203529",44.4633,-83.7217,221.9,10,9.18059301575622
"USC00203529",44.4633,-83.7217,221.9,50,9.13816852492854
"USC00203632",43.675,-86.4228,236.2,0,8.17853238904508
"USC00203632",43.675,-86.4228,236.2,10,10.2472887555959
"USC00203632",43.675,-86.4228,236.2,50,10.1896542520031
"USC00203661",42.6419,-85.2881,250.2,0,8.85213624838106
"USC00203661",42.6419,-85.2881,250.2,10,10.6396097689524
"USC00203661",42.6419,-85.2881,250.2,50,10.5434090102624
"USC00203932",44.3119,-84.8922,345.9,0,6.37107871761957
"USC00203932",44.3119,-84.8922,345.9,10,8.44221669747778
"USC00203932",44.3119,-84.8922,345.9,50,8.10629366571168
"USC00204320",43.2036,-85.7775,247.8,0,8.36329219447945
"USC00204320",43.2036,-85.7775,247.8,10,10.3583637503492
"USC00204320",43.2036,-85.7775,247.8,50,10.336020140406
"USC00204502",44.3089,-85.205,374.9,0,6.39367044263572
"USC00204502",44.3089,-85.205,374.9,10,8.26539960418812
"USC00204502",44.3089,-85.205,374.9,50,8.01222178927911
"USC00204655",43.0608,-83.3075,249.9,0,8.59098622842862
"USC00204655",43.0608,-83.3075,249.9,10,10.1894011524534
"USC00204655",43.0608,-83.3075,249.9,50,10.2017127350884
"USC00204967",44.42,-84.0233,276.8,0,6.39684588506335
"USC00204967",44.42,-84.0233,276.8,10,8.72552345162944
"USC00204967",44.42,-84.0233,276.8,50,8.60133816635039
"USC00205065",44.2114,-86.2939,204.2,0,8.35173449630649
"USC00205065",44.2114,-86.2939,204.2,10,10.1302582777122
"USC00205065",44.2114,-86.2939,204.2,50,10.0570084868676
"USC00205097",44.855,-85.8353,243.5,0,7.89205506283115
"USC00205097",44.855,-85.8353,243.5,10,9.94436978156109
"USC00205097",44.855,-85.8353,243.5,50,9.85893921813255
"USC00205567",43.4611,-86.4178,198.1,0,8.29586347537692
"USC00205567",43.4611,-86.4178,198.1,10,10.6024489686655
"USC00205567",43.4611,-86.4178,198.1,50,10.5131765146547
"USC00205662",43.5858,-84.7694,242.3,0,8.44201979471584
"USC00205662",43.5858,-84.7694,242.3,10,10.1179836861911
"USC00205662",43.5858,-84.7694,242.3,50,10.0052625966404
"USC00206184",45.4108,-84.2233,227.1,0,7.31360835753178
"USC00206184",45.4108,-84.2233,227.1,10,8.80136620379318
"USC00206184",45.4108,-84.2233,227.1,50,8.75072350088655
"USC00206300",43.0161,-84.18,222.5,0,8.59244532439453
"USC00206300",43.0161,-84.18,222.5,10,10.3036036557492
"USC00206300",43.0161,-84.18,222.5,50,10.2941353155119
"USC00206507",45.3725,-84.9767,182.6,0,7.15748832852428
"USC00206507",45.3725,-84.9767,182.6,10,8.77137140388803
"USC00206507",45.3725,-84.9767,182.6,50,8.74702505174736
"USC00206658",42.6389,-83.2556,271.3,0,9.46860922145422
"USC00206658",42.6389,-83.2556,271.3,10,10.7114779247697
"USC00206658",42.6389,-83.2556,271.3,50,10.7428292940432
"USC00207277",45.6911,-85.5464,204.8,0,6.71433397801388
"USC00207277",45.6911,-85.5464,204.8,10,8.71571398947669
"USC00207277",45.6911,-85.5464,204.8,50,8.77603958596163
"USC00207820",44.0125,-83.8978,187.5,0,7.35456271123531
"USC00207820",44.0125,-83.8978,187.5,10,9.14374825132952
"USC00207820",44.0125,-83.8978,187.5,50,9.16257686241687
"USC00208417",45.1703,-84.4397,275.8,0,5.53134091525971
"USC00208417",45.1703,-84.4397,275.8,10,7.99603124870058
"USC00208417",45.1703,-84.4397,275.8,50,7.97588423193205
"USC00208443",43.3656,-83.5828,192,0,8.19369951532287
"USC00208443",43.3656,-83.5828,192,10,10.0359546033436
"USC00208443",43.3656,-83.5828,192,50,10.0806907903371
"USC00208800",44.2542,-84.2011,269.7,0,7.00150470618301
"USC00208800",44.2542,-84.2011,269.7,10,9.04410352365244
"USC00208800",44.2542,-84.2011,269.7,50,8.91947289066122
"USW00014814",45.0606,-83.4281,179.8,0,7.08417496786499
"USW00014814",45.0606,-83.4281,179.8,10,8.76576863901735
"USW00014814",45.0606,-83.4281,179.8,50,8.81418837125476
"USW00014817",44.2656,-85.3967,394.7,0,6.50809802240328
"USW00014817",44.2656,-85.3967,394.7,10,8.40123634763284
"USW00014817",44.2656,-85.3967,394.7,50,8.11812628886791
"USW00014822",42.4072,-83.0089,189.9,0,10.4567423672619
