"station","lat","lon","elev","depth","t.lm","t.rf","t.rflm"
"GRR1",44.3602778,-85.6794444,502,0,5.78070324824156,7.0151875121075,5.53723509569516
"GRR1",44.3602778,-85.6794444,502,10,8.13458573668905,8.59967438163206,8.00517994872367
"GRR1",44.3602778,-85.6794444,502,50,7.9031869081993,8.36407127310114,7.88052316248648
"GRR2",44.3701389,-85.7571111,286,0,7.10180901862462,7.85018605233665,6.98432893836908
"GRR2",44.3701389,-85.7571111,286,10,9.4556915070721,9.99211960268416,9.28426889432167
"GRR2",44.3701389,-85.7571111,286,50,9.22429267858235,9.47111991355292,9.17913406570203
"GRR5",43.68175,-85.5799722,401,0,6.7026503976837,7.47966655438322,6.52515485037235
"GRR5",43.68175,-85.5799722,401,10,9.05653288613118,9.23513717214026,8.95747978123025
"GRR5",43.68175,-85.5799722,401,50,8.82513405764143,9.0970938911936,8.87638438671504
"GRR6",43.631,-85.7725278,285,0,7.00292640656122,8.22620666927178,7.04068460857204
"GRR6",43.631,-85.7725278,285,10,9.3568088950087,10.1393431494852,9.20523383096741
"GRR6",43.631,-85.7725278,285,50,9.12541006651895,9.63606481085107,9.19023656682933
"USC00200146",43.3869,-84.6481,221.9,0,8.92605575107336,8.79059286896432,8.76298258684697
"USC00200146",43.3869,-84.6481,221.9,10,11.2799382395208,10.8948514538921,11.1948328099068
"USC00200146",43.3869,-84.6481,221.9,50,11.0485394110311,10.7200576036577,10.9947059830908
"USC00200230",42.2981,-83.6639,247.8,0,9.64067030312884,10.1951573860464,10.20362591061
"USC00200230",42.2981,-83.6639,247.8,10,11.9945527915763,11.8819571146761,12.503898535832
"USC00200230",42.2981,-83.6639,247.8,50,11.7631539630866,11.6752101468255,12.2712771930639
"USC00200552",42.3678,-85.2633,281.3,0,9.53929949627176,9.75378847241344,9.78994735513433
"USC00200552",42.3678,-85.2633,281.3,10,11.8931819847192,11.7047013946918,12.165660444579
"USC00200552",42.3678,-85.2633,281.3,50,11.6617831562295,11.5296865198634,11.9380242305288
"USC00200710",42.1244,-86.4267,190.5,0,10.4932084664568,10.3004627032342,10.4070679234412
"USC00200710",42.1244,-86.4267,190.5,10,12.8470909549043,12.7218501604726,13.0121597455141
"USC00200710",42.1244,-86.4267,190.5,50,12.6156921264145,12.3492403905798,12.7288327642727
"USC00200779",43.7072,-85.4819,273.7,0,8.38696368576454,7.75713280310453,7.66514084903564
"USC00200779",43.7072,-85.4819,273.7,10,10.740846174212,9.99167963734383,10.3182077984715
"USC00200779",43.7072,-85.4819,273.7,50,10.5094473457223,9.69701374126538,10.1400719700105
"USC00200864",42.3839,-85.9625,224.3,0,9.97978690526495,9.56212756852504,9.49707453572507
"USC00200864",42.3839,-85.9625,224.3,10,12.3336693937124,12.0013671363471,12.3285563198307
"USC00200864",42.3839,-85.9625,224.3,50,12.1022705652227,11.7584597071318,12.0663928581552
"USC00200925",45.1672,-84.9139,221.9,0,7.32506481985158,8.14483568114823,8.3511409672354
"USC00200925",45.1672,-84.9139,221.9,10,9.67894730829907,9.60163001901301,10.3315154754627
"USC00200925",45.1672,-84.9139,221.9,50,9.44754847980932,9.44107439288885,10.0455785113022
"USC00201299",43.4839,-83.3919,210.3,0,8.76977616788142,8.75488351562103,8.69214669878726
"USC00201299",43.4839,-83.3919,210.3,10,11.1236586563289,10.7163492601289,11.0033848735575
"USC00201299",43.4839,-83.3919,210.3,50,10.8922598278392,10.593811522132,10.7903728837777
"USC00201361",43.5861,-83.1805,212.8,0,8.63547442788349,8.18547258918468,8.00352290040027
"USC00201361",43.5861,-83.1805,212.8,10,10.989356916331,10.3808342799506,10.435904252016
"USC00201361",43.5861,-83.1805,212.8,50,10.7579580878412,10.2834863698329,10.223748842038
"USC00201468",45.3172,-85.2672,180.7,0,7.49925697930177,7.76247167796822,7.81222329685729
"USC00201468",45.3172,-85.2672,180.7,10,9.85313946774925,9.45616174583339,10.1027835059165
"USC00201468",45.3172,-85.2672,180.7,50,9.6217406392595,9.3716165106776,9.86241394634144
