"station","lat","lon","elev","depth","forest","t.rf","t.best","t"
"USC00201299",43.4839,-83.3919,210.3,50,"open",9.81837857820445,9.81837857820445,NA
"USC00201361",43.5861,-83.1805,212.8,0,"open",7.91491724330782,7.87235117866712,4.43548774627583
"USC00201361",43.5861,-83.1805,212.8,10,"forest",9.34542214351472,9.34542214351472,NA
"USC00201361",43.5861,-83.1805,212.8,10,"open",9.53447976062519,9.53447976062519,NA
"USC00201361",43.5861,-83.1805,212.8,50,"forest",9.49129556661799,9.49129556661799,NA
"USC00201361",43.5861,-83.1805,212.8,50,"open",9.68615170590365,9.68615170590365,NA
"USC00201468",45.3172,-85.2672,180.7,0,"open",7.09419541899177,7.09419541899177,NA
"USC00201468",45.3172,-85.2672,180.7,10,"forest",8.57408840658311,8.57408840658311,NA
"USC00201468",45.3172,-85.2672,180.7,10,"open",8.71398567010069,8.71398567010069,NA
"USC00201468",45.3172,-85.2672,180.7,50,"forest",8.61912458383351,8.61912458383351,NA
"USC00201468",45.3172,-85.2672,180.7,50,"open",8.77378338188888,8.77378338188888,NA
"USC00201492",45.6522,-84.4725,177.4,0,"open",6.28971187120857,6.312161129628,6.30906699238936
"USC00201492",45.6522,-84.4725,177.4,10,"forest",7.94063929575597,7.94063929575597,NA
"USC00201492",45.6522,-84.4725,177.4,10,"open",7.99426676182135,7.99426676182135,NA
"USC00201492",45.6522,-84.4725,177.4,50,"forest",8.03741390972442,8.03741390972442,NA
"USC00201492",45.6522,-84.4725,177.4,50,"open",8.11116860803114,8.11116860803114,NA
"USC00201896",45.6414,-85.0142,219.8,0,"open",6.61720481781863,6.76275883887446,6.8388646560319
"USC00201896",45.6414,-85.0142,219.8,10,"forest",8.11684021281109,8.11684021281109,NA
"USC00201896",45.6414,-85.0142,219.8,10,"open",8.17987339057995,8.17987339057995,NA
"USC00201896",45.6414,-85.0142,219.8,50,"forest",8.20221699156881,8.20221699156881,NA
"USC00201896",45.6414,-85.0142,219.8,50,"open",8.28638256104616,8.28638256104616,NA
"USC00202015",42.3192,-83.2383,184.4,0,"open",9.74513490980812,9.77532222714498,9.71268197088466
"USC00202015",42.3192,-83.2383,184.4,10,"forest",11.0786677991834,11.0786677991834,NA
"USC00202015",42.3192,-83.2383,184.4,10,"open",11.2316669225371,11.2316669225371,NA
"USC00202015",42.3192,-83.2383,184.4,50,"forest",11.0267438871318,11.0267438871318,NA
"USC00202015",42.3192,-83.2383,184.4,50,"open",11.1807863313261,11.1807863313261,NA
"USC00202381",45.1517,-85.1325,178.9,0,"open",7.00657136227849,6.91350064362006,6.79417238462262
"USC00202381",45.1517,-85.1325,178.9,10,"forest",8.49361287661077,8.49361287661077,NA
"USC00202381",45.1517,-85.1325,178.9,10,"open",8.62592169193333,8.62592169193333,NA
"USC00202381",45.1517,-85.1325,178.9,50,"forest",8.56406920396282,8.56406920396282,NA
